"행정구역","2022년07월_거주자 인구수","2022년07월_세대수","2022년07월_남자 인구수","2022년07월_여자 인구수"
"서울특별시  (1100000000)","9,386,382","4,391,372","4,550,852","4,835,530"
"서울특별시 종로구 (1111000000)","140,389","71,377","67,928","72,461"
"서울특별시 중구 (1114000000)","119,402","61,892","57,975","61,427"
"서울특별시 용산구 (1117000000)","216,005","107,393","103,947","112,058"
"서울특별시 성동구 (1120000000)","280,295","131,901","136,351","143,944"
"서울특별시 광진구 (1121500000)","336,339","167,360","162,081","174,258"
"서울특별시 동대문구 (1123000000)","333,759","167,405","164,366","169,393"
"서울특별시 중랑구 (1126000000)","384,950","185,637","189,325","195,625"
"서울특별시 성북구 (1129000000)","429,175","195,049","206,542","222,633"
"서울특별시 강북구 (1130500000)","293,211","142,615","142,404","150,807"
"서울특별시 도봉구 (1132000000)","311,833","137,213","151,470","160,363"
"서울특별시 노원구 (1135000000)","503,798","215,977","242,304","261,494"
"서울특별시 은평구 (1138000000)","468,176","212,800","223,511","244,665"
"서울특별시 서대문구 (1141000000)","301,728","142,845","143,834","157,894"
"서울특별시 마포구 (1144000000)","362,552","177,656","170,174","192,378"
"서울특별시 양천구 (1147000000)","440,549","179,525","215,582","224,967"
"서울특별시 강서구 (1150000000)","568,286","271,364","272,832","295,454"
"서울특별시 구로구 (1153000000)","391,812","180,168","192,605","199,207"
"서울특별시 금천구 (1154500000)","229,414","118,123","115,558","113,856"
"서울특별시 영등포구 (1156000000)","372,472","185,884","183,265","189,207"
"서울특별시 동작구 (1159000000)","381,787","184,793","184,548","197,239"
"서울특별시 관악구 (1162000000)","482,450","278,386","242,365","240,085"
"서울특별시 서초구 (1165000000)","401,084","165,461","191,633","209,451"
"서울특별시 강남구 (1168000000)","522,874","228,621","250,063","272,811"
"서울특별시 송파구 (1171000000)","656,576","281,987","316,247","340,329"
"서울특별시 강동구 (1174000000)","457,466","199,940","223,942","233,524"
