,구,GDP,평균가격
1,종로구,33780610,13400
2,중구,53823217,19450
3,용산구,12695516,20300
4,성동구,12167850,11700
5,광진구,6587069,12300
6,동대문구,7555543,10000
7,중랑구,4741739,8300
8,성북구,6141921,11000
9,강북구,3283572,6000
10,도봉구,3404872,8000
11,노원구,6620672,15800
12,은평구,4919715,11500
13,서대문구,8652191,12400
14,마포구,19943128,14700
15,양천구,7125314,15000
16,강서구,17458926,12600
17,구로구,14090156,15000
18,금천구,17614623,15000
19,영등포구,36095497,14400
20,동작구,6527100,13000
21,관악구,5963769,8300
22,서초구,35570338,16800
23,강남구,71852681,26000
24,송파구,29962528,15600
25,강동구,9348668,11000
