,구,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,서울시 본청,1807592,1839870,2307731,2315046,2601002,2739800,2990921,3127145,3401490
2,종로구,596525,641709,662922,761582,746839,828034,940265,989810,1038141
3,중구,1288216,1170333,1039202,1270708,1295444,1307220,1457959,1707929,1714650
4,용산구,459154,444836,521257,568306,638263,789772,739344,764486,1065879
5,성동구,285666,296122,354070,398949,435899,546315,563388,582273,793217
6,광진구,278001,251637,277933,348533,359320,407932,456001,443149,497479
7,동대문구,288497,297296,325385,355087,372652,391801,432907,436483,481487
8,중랑구,210497,216263,249836,274273,304261,295803,304529,324915,386616
9,성북구,296324,281229,302951,347725,370611,390834,443922,460128,522469
10,강북구,178484,167182,183257,208205,215529,226514,231984,234701,279039
11,도봉구,180609,177432,191041,217051,225380,236747,237093,252935,286797
12,노원구,255740,254410,277251,303031,351964,341804,349385,346657,459240
13,은평구,247568,235937,267588,332329,337994,408897,378265,394933,494541
14,서대문구,229952,224890,263791,306682,355370,356038,360420,399249,484284
15,마포구,461332,461194,523352,626098,654235,673148,732578,793808,940644
16,양천구,340839,325982,360426,404915,462173,443922,489789,534297,647109
17,강서구,375903,373444,506443,580512,621664,786714,779750,826542,961293
18,구로구,322559,322032,372098,399179,432032,478997,475010,477101,620685
19,금천구,259106,275626,315566,333822,364099,394363,444032,469419,508376
20,영등포구,894699,805193,854223,1077655,1060944,1093707,1248782,1377273,1763015
21,동작구,293526,284878,296298,352742,395931,425564,430456,472049,555482
22,관악구,266001,268414,290323,339572,362170,390882,388339,406752,468992
23,서초구,1116810,1109486,1248174,1401665,1597413,1680619,1875603,2010972,2263294
24,강남구,2212952,1998363,2130162,3013939,2710324,2802918,3225726,3457856,3854409
25,송파구,743663,792697,902027,973659,1231070,1325455,1336277,1573934,1679802
26,강동구,386109,353637,385748,461106,504494,610014,547799,703426,940722
