,1,2,3,4,5,6,7,8,9,10
종로구,3,10,28,55,81,58,68,69,55,93
중구,3,7,56,91,87,67,57,28,28,56
용산구,3,28,40,91,101,78,74,73,59,108
성동구,9,7,42,68,93,112,112,83,63,116
광진구,9,13,56,151,136,107,113,56,36,103
동대문구,12,20,50,126,135,122,124,77,53,71
중랑구,8,16,48,150,152,133,155,77,31,70
성북구,16,23,44,123,140,144,138,73,44,105
강북구,15,13,52,91,136,106,92,98,38,99
도봉구,19,27,105,111,112,138,83,37,31,57
노원구,10,33,43,101,136,131,182,118,52,89
은평구,15,28,57,131,158,141,130,105,42,68
서대문구,8,14,55,82,103,137,124,76,54,67
마포구,7,27,48,125,132,112,130,91,60,88
양천구,20,47,121,110,128,88,79,65,52,115
강서구,10,35,74,174,183,150,151,83,55,95
구로구,16,23,55,128,133,105,144,87,52,82
금천구,13,37,69,119,125,109,91,42,25,40
영등포구,11,10,49,136,146,104,129,95,62,73
동작구,12,23,82,144,138,125,113,83,49,81
관악구,19,31,113,270,199,119,140,66,28,45
서초구,15,2,19,67,109,113,134,92,76,163
강남구,17,8,29,75,122,138,125,83,80,253
송파구,14,13,41,99,151,152,158,109,71,187
강동구,9,14,50,141,148,157,153,66,50,82
