,구,10000원 미만,20000원 미만,30000원 미만,40000원 미만,40000원 이상,맛집수,가격 점수
0, 강동구,8,5,2,0,0,15,1.6
1, 광진구,10,10,0,2,0,22,1.7272727272727273
2, 성동구,28,9,9,1,1,48,1.7083333333333333
3, 용산구,17,23,13,7,11,71,2.6056338028169015
4, 중구,9,19,10,1,7,46,2.5217391304347827
5,강남구,13,16,14,13,25,81,3.259259259259259
6,강북구,3,1,0,0,0,4,1.25
7,강서구,5,6,2,0,0,13,1.7692307692307692
8,관악구,19,7,1,0,0,27,1.3333333333333333
9,구로구,1,4,1,0,0,6,2.0
10,금천구,0,2,0,0,0,2,2.0
11,노원구,2,3,0,0,1,6,2.1666666666666665
12,도봉구,7,3,0,0,0,10,1.3
13,동대문구,11,5,2,0,0,18,1.5
14,동작구,10,6,4,1,0,21,1.8095238095238095
15,마포구,30,23,14,1,5,73,2.0136986301369864
16,서대문구,19,20,5,0,1,45,1.7555555555555555
17,서초구,28,17,6,2,12,65,2.276923076923077
18,성북구,14,7,4,0,0,25,1.6
19,송파구,20,14,7,5,3,49,2.122448979591837
20,양천구,2,1,0,1,0,4,2.0
21,영등포구,16,15,2,1,4,38,2.0
22,은평구,6,3,0,0,1,10,1.7
23,종로구,31,23,6,1,5,66,1.878787878787879
24,중랑구,2,1,0,0,0,3,1.3333333333333333
