,구,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,종로구,232685,232857,235681,245698,269106,268309,268702,265017,260446
1,중구,371861,386637,370070,380407,423808,402892,386648,390530,392568
2,용산구,126714,120441,127151,126073,133446,129033,133260,141216,135240
3,성동구,134727,139994,143803,152831,162019,165047,167308,174819,178243
4,광진구,116300,117652,119965,117420,123689,126937,125170,127879,126305
5,동대문구,129592,132397,132100,137079,143858,144172,142842,140748,138400
6,중랑구,92326,96613,96038,99712,99241,101190,102758,103016,103345
7,성북구,101472,103054,108141,107496,113893,111442,108991,108201,111005
8,강북구,68217,69508,69468,70919,69787,69768,71752,72418,73904
9,도봉구,62791,62820,63936,66137,68669,70166,70503,74314,72939
10,노원구,103761,102327,104525,109272,114736,114999,117859,118713,116684
11,은평구,78623,80672,83203,84489,87693,90203,88818,90049,93631
12,서대문구,94280,97686,98666,102163,111615,113979,111117,109490,113819
13,마포구,201682,212720,214621,227966,252534,250605,247999,255152,247276
14,양천구,107890,108802,109999,114617,119443,117259,119943,123311,121582
15,강서구,163250,168783,178281,185361,199289,207406,234394,248204,257494
16,구로구,180377,190692,193660,197894,210506,211391,213468,218070,225668
17,금천구,198094,198565,203455,214128,223058,225578,228000,234012,242686
18,영등포구,325207,335678,337027,343943,362524,366625,362800,367557,373478
19,동작구,100296,99628,108007,105146,103915,108058,110422,112564,106159
20,관악구,108511,109069,109055,112223,119180,113781,115390,113944,115329
21,서초구,394802,376962,373954,390662,439963,427227,436763,438733,438985
22,강남구,635129,611206,617340,645060,711278,689623,679047,694136,698840
23,송파구,254120,257200,253215,263841,302517,312661,329447,342853,341201
24,강동구,115605,129430,133729,139346,143061,141100,146512,145990,141770
