,학교명,구,주소
0, 서울대학교 , 관악구 ,서울특별시 관악구 관악로 1
1, 한국체육대학교 , 송파구 ,서울특별시 송파구 양재대로 1239
2, 서울과학기술대학교 , 노원구 ,서울특별시 노원구 공릉로 232
3, 서울시립대학교 , 동대문구 ,서울특별시 동대문구 서울시립대로 163
4, 감리교신학대학교 , 서대문구 ,서울특별시 서대문구 독립문로 56
5, 건국대학교 , 광진구 ,서울특별시 광진구 능동로 120
6, 경희대학교 , 동대문구 ,서울특별시 동대문구 경희대로 26
7, 고려대학교 , 성북구 ,서울특별시 성북구 안암로 145
8, 광운대학교 , 노원구 ,서울특별시 노원구 광운로 20
9, 국민대학교 , 성북구 ,서울특별시 성북구 정릉로 77
10, 케이씨대학교 , 강서구 ,서울특별시 강서구 까치산로24길 47
11, 서울기독대학교 , 은평구 ,서울특별시 은평구 갈현로4길 26-2
12, 덕성여자대학교 , 도봉구 ,서울특별시 도봉구 삼양로144길 33
13, 동국대학교 , 중구 ,서울특별시 중구 필동로1길 30
14, 동덕여자대학교 , 성북구 ,서울특별시 성북구 화랑로13길 60
15, 삼육대학교 , 노원구 ,서울특별시 노원구 화랑로 815
16, 상명대학교 , 종로구 ,서울특별시 종로구 홍지문2길 20
17, 서강대학교 , 마포구 ,서울특별시 마포구 백범로 35
18, 서경대학교 , 성북구 ,서울특별시 성북구 서경로 124
19, 서울여자대학교 , 노원구 ,서울특별시 노원구 화랑로 621
20, 성공회대학교 , 구로구 ,서울특별시 구로구 연동로 320
21, 성균관대학교 , 종로구 ,서울특별시 종로구 성균관로 25-2
22, 성신여자대학교 , 성북구 ,서울특별시 성북구 보문로34다길 2
23, 세종대학교 , 광진구 ,서울특별시 광진구 능동로 209
24, 숙명여자대학교 , 용산구 ,서울특별시 용산구 청파로47길 100
25, 숭실대학교 , 동작구 ,서울특별시 동작구 상도로 369
26, 연세대학교 , 서대문구 ,서울특별시 서대문구 연세로 50
27, 이화여자대학교 , 서대문구 ,서울특별시 서대문구 이화여대길 52
28, 장로회신학대학교 , 광진구 ,서울특별시 광진구 광장로5길 25-1
29, 중앙대학교 , 동작구 ,서울특별시 동작구 흑석로 84
30, 총신대학교 , 동작구 ,서울특별시 동작구 사당로 143
31, 추계예술대학교 , 서대문구 ,서울특별시 서대문구 북아현로11가길 7
32, 한국성서대학교 , 노원구 ,서울특별시 노원구 동일로214길 32
33, 한국외국어대학교 , 동대문구 ,서울특별시 동대문구 이문로 107
34, 한성대학교 , 성북구 ,서울특별시 성북구 삼선교로16길 116
35, 한양대학교 , 성동구 ,서울특별시 성동구 왕십리로 222
36, 서울한영대학교 , 구로구 ,서울특별시 구로구 경인로 290-42
37, 홍익대학교 , 마포구 ,서울특별시 마포구 와우산로 94
38, 서울교육대학교 , 서초구 ,서울특별시 서초구 서초중앙로 96
39, 한국방송통신대학교 , 종로구 ,서울특별시 종로구 대학로 86
40, 정석대학 , 강서구 ,서울특별시 강서구 하늘길 260
41, 국제예술대학교 , 강남구 ,서울특별시 강남구 도산대로30길 47
42, 백석예술대학교 , 서초구 ,서울특별시 서초구 방배로9길 23
43, 정화예술대학교 , 중구 ,서울특별시 중구 퇴계로16길 21
44, 동양미래대학교 , 구로구 ,서울특별시 구로구 경인로 445
45, 명지전문대학 , 서대문구 ,서울특별시 서대문구 가좌로 134
46, 배화여자대학교 , 종로구 ,서울특별시 종로구 필운대로1길 34
47, 삼육보건대학교 , 동대문구 ,서울특별시 동대문구 망우로 82
48, 서울여자간호대학교 , 서대문구 ,서울특별시 서대문구 간호대로 38
49, 서일대학교 , 중랑구 ,서울특별시 중랑구 용마산로90길 28
50, 숭의여자대학교 , 중구 ,서울특별시 중구 소파로2길 10
51, 인덕대학교 , 노원구 ,서울특별시 노원구 초안산로 12
52, 한양여자대학교 , 성동구 ,서울특별시 성동구 살곶이길 200
53, 경희사이버대학교 , 동대문구 ,서울특별시 동대문구 경희대로 26
54, 서울디지털대학교 , 강서구 ,서울특별시 강서구 공항대로 424
55, 서울사이버대학교 , 강북구 ,서울특별시 강북구 솔매로49길 60
56, 세종사이버대학교  , 광진구 ,서울특별시 광진구 군자로 121
57, 한국열린사이버대학교 , 중랑구 ,서울특별시 중랑구 망우로 353
58, 고려사이버대학교 , 종로구 ,서울특별시 종로구 북촌로 106
59, 숭실사이버대학교 , 종로구 ,서울특별시 종로구 삼일대로30길 23
60, 디지털서울문화예술대학교 , 서대문구 ,서울특별시 서대문구 통일로37길 60
61, 한양사이버대학교 , 성동구 ,서울특별시 성동구 왕십리로 220
62, 사이버한국외국어대학교 , 동대문구 ,서울특별시 동대문구 이문로 107
63, 한국예술종합학교 , 성북구 ,서울특별시 성북구 화랑로32길 146-37
64, 한국폴리텍대학 서울정수캠퍼스 , 용산구 ,서울특별시 용산구 보광로 73
65, 한국폴리텍대학 서울강서캠퍼스 , 강서구 ,서울특별시 강서구 우장산로10길 112
