,구,소득세,가격 점수
0,도봉구,227929,1.3
1,노원구,404969,2.1666666666666665
2,강북구,146936,1.25
3,은평구,413900,1.7
4,종로구,3169471,1.878787878787879
5,성북구,863338,1.6
6,동대문구,523330,1.5
7,중랑구,259445,1.3333333333333333
8,서대문구,715787,1.7555555555555555
9,마포구,1427778,2.0136986301369864
10,중구,5747605,2.5217391304347827
11,용산구,3291837,2.605633802816901
12,성동구,1019955,1.7083333333333333
13,광진구,1019955,1.7272727272727273
14,강동구,899452,1.6
15,송파구,3138921,2.122448979591837
16,강남구,10239094,3.259259259259259
17,강서구,1098252,1.7692307692307692
18,양천구,916701,2.0
19,영등포구,5944329,2.0
20,동작구,953485,1.809523809523809
21,서초구,6299978,2.276923076923077
22,관악구,426240,1.3333333333333333
23,금천구,616415,2.0
24,구로구,713170,2.0
